Title,Year,Review
Autumn Days,1963,"61 puntos con 17 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a> <br> 5 puntos: <a href='https://letterboxd.com/dr_akkar/list/tftlatam/detail'>dr_akkar</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a> <br> 4 puntos: <a href='https://letterboxd.com/diogoserafim/list/tft-latam/detail'>diogoserafim</a>, <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a>, <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a>, <a href='https://letterboxd.com/explodingboy/list/tftlatam/detail'>explodingboy</a> <br> 3 puntos: <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a>, <a href='https://letterboxd.com/luisru/list/tft-latam/detail'>luisru</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a> <br> 2 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a> <br> 1 puntos: <a href='https://letterboxd.com/fabiovg/list/tftlatam/detail'>fabiovg</a>"
Twenty Years Later,1984,"61 puntos con 17 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/bracero/list/tftlatam/detail'>bracero</a> <br> 5 puntos: <a href='https://letterboxd.com/explodingboy/list/tftlatam/detail'>explodingboy</a>, <a href='https://letterboxd.com/lobo_lopez/list/tftlatinoamerica/detail'>lobo_lopez</a>, <a href='https://letterboxd.com/paula_arantzazu/list/tftlatam/detail'>paula_arantzazu</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a> <br> 4 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/utges/list/tftlatam/detail'>utges</a>, <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a> <br> 3 puntos: <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a>, <a href='https://letterboxd.com/ninotchka/list/tftlatam/detail'>ninotchka</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a> <br> 1 puntos: <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/pauixitador/list/tftlatinoamerica/detail'>pauixitador</a>"
Trenque Lauquen,2022,"61 puntos con 16 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a> <br> 5 puntos: <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/hugoromero/list/tft-latinoamerica/detail'>hugoromero</a>, <a href='https://letterboxd.com/jorgemz/list/tft-latam/detail'>jorgemz</a>, <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>, <a href='https://letterboxd.com/marioquema/list/tftlatam/detail'>marioquema</a> <br> 4 puntos: <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a> <br> 2 puntos: <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a>, <a href='https://letterboxd.com/paula_arantzazu/list/tftlatam/detail'>paula_arantzazu</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a> <br> 1 puntos: <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>, <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>"
Araya,1959,"60 puntos con 21 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/migblah/list/tft-latinoamerica/detail'>migblah</a>, <a href='https://letterboxd.com/utges/list/tftlatam/detail'>utges</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a> <br> 4 puntos: <a href='https://letterboxd.com/ninotchka/list/tftlatam/detail'>ninotchka</a>, <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/paula_arantzazu/list/tftlatam/detail'>paula_arantzazu</a> <br> 3 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a> <br> 2 puntos: <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a>, <a href='https://letterboxd.com/pauixitador/list/tftlatinoamerica/detail'>pauixitador</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a>, <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a> <br> 1 puntos: <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a>"
La Flor,2018,"58 puntos con 13 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/marioquema/list/tftlatam/detail'>marioquema</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a> <br> 5 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a> <br> 4 puntos: <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/hugoromero/list/tft-latinoamerica/detail'>hugoromero</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a>, <a href='https://letterboxd.com/simonsds/list/borrador-tftlatam/detail'>simonsds</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a> <br> 3 puntos: <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a>"
One Hundred Children Waiting for a Train,1988,"49 puntos con 18 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a> <br> 4 puntos: <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/pele_alvaro/list/tft-latam/detail'>pele_alvaro</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a>, <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a>, <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a> <br> 3 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a> <br> 2 puntos: <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/alonsodvt/list/topfilmtuiter-latinoamerica-tftlatam/detail'>alonsodvt</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>, <a href='https://letterboxd.com/ezequiel2517/list/tftlatam/detail'>ezequiel2517</a> <br> 1 puntos: <a href='https://letterboxd.com/utges/list/tftlatam/detail'>utges</a>, <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/migblah/list/tft-latinoamerica/detail'>migblah</a>"
Death of a Bureaucrat,1966,"45 puntos con 14 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/heelena9/list/tft-cine-latinoamericano/detail'>heelena9</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a> <br> 4 puntos: <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>, <a href='https://letterboxd.com/fabiovg/list/tftlatam/detail'>fabiovg</a> <br> 2 puntos: <a href='https://letterboxd.com/marioiglesias/list/tftlatam/detail'>marioiglesias</a>, <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/jarsito/list/tft-latinoamerica/detail'>jarsito</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a> <br> 1 puntos: <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>"
The Criminal Life of Archibaldo de la Cruz,1955,"45 puntos con 11 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/luisru/list/tft-latam/detail'>luisru</a> <br> 5 puntos: <a href='https://letterboxd.com/ezequiel2517/list/tftlatam/detail'>ezequiel2517</a>, <a href='https://letterboxd.com/fabiovg/list/tftlatam/detail'>fabiovg</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a> <br> 4 puntos: <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>, <a href='https://letterboxd.com/jorgemz/list/tft-latam/detail'>jorgemz</a> <br> 3 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/jarsito/list/tft-latinoamerica/detail'>jarsito</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a> <br> 2 puntos: <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>"
Invasion,1969,"44 puntos con 15 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a> <br> 4 puntos: <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/manuelsanbai/list/tft-latam/detail'>manuelsanbai</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a> <br> 3 puntos: <a href='https://letterboxd.com/marioiglesias/list/tftlatam/detail'>marioiglesias</a>, <a href='https://letterboxd.com/lobo_lopez/list/tftlatinoamerica/detail'>lobo_lopez</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a>, <a href='https://letterboxd.com/migblah/list/tft-latinoamerica/detail'>migblah</a> <br> 2 puntos: <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/luisru/list/tft-latam/detail'>luisru</a> <br> 1 puntos: <a href='https://letterboxd.com/diogoserafim/list/tft-latam/detail'>diogoserafim</a>, <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a>"
Juan: As If Nothing Ever Happened,1987,"42 puntos con 14 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/marioiglesias/list/tftlatam/detail'>marioiglesias</a> <br> 4 puntos: <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a>, <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a> <br> 3 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a> <br> 2 puntos: <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a> <br> 1 puntos: <a href='https://letterboxd.com/lobo_lopez/list/tftlatinoamerica/detail'>lobo_lopez</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a>"
La Ciénaga,2001,"41 puntos con 12 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/jorgemz/list/tft-latam/detail'>jorgemz</a>, <a href='https://letterboxd.com/xzetaprobe/list/tftlatam/detail'>xzetaprobe</a>, <a href='https://letterboxd.com/simonsds/list/borrador-tftlatam/detail'>simonsds</a> <br> 4 puntos: <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>, <a href='https://letterboxd.com/hugoromero/list/tft-latinoamerica/detail'>hugoromero</a>, <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a> <br> 3 puntos: <a href='https://letterboxd.com/heelena9/list/tft-cine-latinoamericano/detail'>heelena9</a> <br> 2 puntos: <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a> <br> 1 puntos: <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>"
Rosaura at 10 O'Clock,1958,"38 puntos con 11 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/figmare/list/tftlatam/detail'>figmare</a>, <a href='https://letterboxd.com/manuelsanbai/list/tft-latam/detail'>manuelsanbai</a> <br> 4 puntos: <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/colmener/list/tftlatam/detail'>colmener</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a> <br> 3 puntos: <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>, <a href='https://letterboxd.com/mat25/list/topfilmtwitter-latinoamerica-tftlatam/detail'>mat25</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a> <br> 1 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>"
Nazarín,1959,"38 puntos con 9 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a> <br> 5 puntos: <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>, <a href='https://letterboxd.com/lobo_lopez/list/tftlatinoamerica/detail'>lobo_lopez</a> <br> 4 puntos: <a href='https://letterboxd.com/dr_akkar/list/tftlatam/detail'>dr_akkar</a>, <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a> <br> 3 puntos: <a href='https://letterboxd.com/fabiovg/list/tftlatam/detail'>fabiovg</a> <br> 1 puntos: <a href='https://letterboxd.com/jarsito/list/tft-latinoamerica/detail'>jarsito</a>"
The Romance of Aniceto and Francisca,1967,"36 puntos con 13 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a> <br> 4 puntos: <a href='https://letterboxd.com/ezequiel2517/list/tftlatam/detail'>ezequiel2517</a>, <a href='https://letterboxd.com/migblah/list/tft-latinoamerica/detail'>migblah</a>, <a href='https://letterboxd.com/batty/list/tft-latinoamerica/detail'>batty</a> <br> 3 puntos: <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a>, <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/explodingboy/list/tftlatam/detail'>explodingboy</a> <br> 2 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a> <br> 1 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>, <a href='https://letterboxd.com/aixa72/list/tftlatam/detail'>aixa72</a>"
Chronicle of a Boy Alone,1965,"35 puntos con 9 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a>, <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/genzai_2/list/top-25-tft-latam/detail'>genzai_2</a> <br> 4 puntos: <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a> <br> 3 puntos: <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>, <a href='https://letterboxd.com/diogoserafim/list/tft-latam/detail'>diogoserafim</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/synthemesco/list/tft-latinoamerica/detail'>synthemesco</a>"
Pueblerina,1949,"33 puntos con 8 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/explodingboy/list/tftlatam/detail'>explodingboy</a>, <a href='https://letterboxd.com/alonsodvt/list/topfilmtuiter-latinoamerica-tftlatam/detail'>alonsodvt</a> <br> 4 puntos: <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/ninotchka/list/tftlatam/detail'>ninotchka</a> <br> 3 puntos: <a href='https://letterboxd.com/hugoromero/list/tft-latinoamerica/detail'>hugoromero</a> <br> 2 puntos: <a href='https://letterboxd.com/mabusecaligari/list/tftlatam/detail'>mabusecaligari</a>"
The Age of the Earth,1980,"31 puntos con 8 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/diogoserafim/list/tft-latam/detail'>diogoserafim</a>, <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a> <br> 4 puntos: <a href='https://letterboxd.com/ezequiel2517/list/tftlatam/detail'>ezequiel2517</a>, <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>, <a href='https://letterboxd.com/guillehormigo/list/tftlatam/detail'>guillehormigo</a> <br> 3 puntos: <a href='https://letterboxd.com/jasikedevicius/list/tftlatam/detail'>jasikedevicius</a>, <a href='https://letterboxd.com/hugoromero/list/tft-latinoamerica/detail'>hugoromero</a>, <a href='https://letterboxd.com/fabiovg/list/tftlatam/detail'>fabiovg</a>"
The Hour of the Furnaces,1968,"30 puntos con 8 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/marioiglesias/list/tftlatam/detail'>marioiglesias</a>, <a href='https://letterboxd.com/pauixitador/list/tftlatinoamerica/detail'>pauixitador</a>, <a href='https://letterboxd.com/xzetaprobe/list/tftlatam/detail'>xzetaprobe</a> <br> 4 puntos: <a href='https://letterboxd.com/heelena9/list/tft-cine-latinoamericano/detail'>heelena9</a>, <a href='https://letterboxd.com/bracero/list/tftlatam/detail'>bracero</a> <br> 3 puntos: <a href='https://letterboxd.com/marialebernedo/list/tftlatam-top-filmtuiter-latinoamerica/detail'>marialebernedo</a> <br> 2 puntos: <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>"
City of God,2002,"29 puntos con 7 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/figmare/list/tftlatam/detail'>figmare</a> <br> 5 puntos: <a href='https://letterboxd.com/colmener/list/tftlatam/detail'>colmener</a> <br> 4 puntos: <a href='https://letterboxd.com/anaavellaneda/list/tft-lta/detail'>anaavellaneda</a>, <a href='https://letterboxd.com/jarsito/list/tft-latinoamerica/detail'>jarsito</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a> <br> 3 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a>"
Pure Blood,1982,"28 puntos con 10 menciones. Elegida por:<p>4 puntos: <a href='https://letterboxd.com/explodingboy/list/tftlatam/detail'>explodingboy</a>, <a href='https://letterboxd.com/vareludo/list/tftlatam/detail'>vareludo</a>, <a href='https://letterboxd.com/rachelmygod/list/tftlatam/detail'>rachelmygod</a> <br> 3 puntos: <a href='https://letterboxd.com/gorkalonso1/list/mi-top-25-tftlatam/detail'>gorkalonso1</a>, <a href='https://letterboxd.com/mann_ohne_namen/list/tftlatam/detail'>mann_ohne_namen</a>, <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/migblah/list/tft-latinoamerica/detail'>migblah</a> <br> 2 puntos: <a href='https://letterboxd.com/juanky97/list/tft-latam/detail'>juanky97</a> <br> 1 puntos: <a href='https://letterboxd.com/marcos_m_rom/list/tft-latinoamerica/detail'>marcos_m_rom</a>, <a href='https://letterboxd.com/will_llermo/list/tftlatinoamerica/detail'>will_llermo</a>"
"Rio, Northern Zone",1957,"27 puntos con 11 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/ninotchka/list/tftlatam/detail'>ninotchka</a> <br> 4 puntos: <a href='https://letterboxd.com/jjm_24/list/tftlatam/detail'>jjm_24</a>, <a href='https://letterboxd.com/utges/list/tftlatam/detail'>utges</a> <br> 3 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a> <br> 2 puntos: <a href='https://letterboxd.com/paloma55/list/tft-latinoamerica/detail'>paloma55</a>, <a href='https://letterboxd.com/diogoserafim/list/tft-latam/detail'>diogoserafim</a>, <a href='https://letterboxd.com/borinot/list/tftlatam/detail'>borinot</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a> <br> 1 puntos: <a href='https://letterboxd.com/eljpax/list/tft-latam-1/detail'>eljpax</a>, <a href='https://letterboxd.com/alonsodvt/list/topfilmtuiter-latinoamerica-tftlatam/detail'>alonsodvt</a>, <a href='https://letterboxd.com/danielquinn/list/tftlatam/detail'>danielquinn</a>"
The Secret in Their Eyes,2009,"27 puntos con 10 menciones. Elegida por:<p>6 puntos: <a href='https://letterboxd.com/anaavellaneda/list/tft-lta/detail'>anaavellaneda</a> <br> 5 puntos: <a href='https://letterboxd.com/figmare/list/tftlatam/detail'>figmare</a>, <a href='https://letterboxd.com/jal90/list/tftlatam-1/detail'>jal90</a> <br> 3 puntos: <a href='https://letterboxd.com/manuelsanbai/list/tft-latam/detail'>manuelsanbai</a> <br> 2 puntos: <a href='https://letterboxd.com/fleming22/list/tftlatam/detail'>fleming22</a>, <a href='https://letterboxd.com/colmener/list/tftlatam/detail'>colmener</a> <br> 1 puntos: <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>, <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>, <a href='https://letterboxd.com/jarsito/list/tft-latinoamerica/detail'>jarsito</a>, <a href='https://letterboxd.com/albertomilano/list/tft-latinoamerica/detail'>albertomilano</a>"
Amores Perros,2000,"27 puntos con 9 menciones. Elegida por:<p>5 puntos: <a href='https://letterboxd.com/marioiglesias/list/tftlatam/detail'>marioiglesias</a>, <a href='https://letterboxd.com/colmener/list/tftlatam/detail'>colmener</a> <br> 4 puntos: <a href='https://letterboxd.com/figmare/list/tftlatam/detail'>figmare</a>, <a href='https://letterboxd.com/anaavellaneda/list/tft-lta/detail'>anaavellaneda</a> <br> 3 puntos: <a href='https://letterboxd.com/bergmantonioni/list/tftlatam/detail'>bergmantonioni</a>, <a href='https://letterboxd.com/filmandera/list/tftlatam/detail'>filmandera</a> <br> 1 puntos: <a href='https://letterboxd.com/a_de_la_hoz/list/tftlatinoamerica/detail'>a_de_la_hoz</a>, <a href='https://letterboxd.com/manuelsanbai/list/tft-latam/detail'>manuelsanbai</a>, <a href='https://letterboxd.com/bracero/list/tftlatam/detail'>bracero</a>"
